"GUID","ZH Artwert (1995): Artwert KT ZH","ZH Artwert (1995): Artwertberechnung Anteil am CH-Bestand","ZH Artwert (1995): Artwertberechnung Areal weltweit","ZH Artwert (1995): Artwertberechnung Gefährdung CH Punkte","ZH Artwert (1995): Artwertberechnung Gefährdung EU Punkte","ZH Artwert (1995): Artwertberechnung Gefährdung ZH Punkte","ZH Artwert (1995): Neophyt"
"BB1122EC-C196-4E1D-B355-B14060CC24A1",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"BB8854ED-29E3-4370-95E9-C9C9B8079ADC",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"BBB2E9DA-1CA9-4320-9637-C806C28F8B33",14,"gross: >1/2 (3 Punkte)","gross (0 Punkte)","","","","true"
"BD58E008-892C-4AA1-B2EA-1F3F4CB471E1",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"BECA2535-EC92-44DE-A72E-35591A7CF34F",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"C15B0A8C-68DF-4031-A7D0-01FEBD435EA1",6,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"C2910D4B-C383-41B8-97C1-7025CB14949C",0,"nicht beurteilt (0 Punkte)","nicht beurteilt (0 Punkte)",0,0,0,"true"
"C31E24C2-0E1B-4524-B037-F7B95C0FB0CA",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"C4E04526-66CD-480E-9A5F-EE43E02F36CC",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"C5E0AB95-2AC6-4A88-AEDA-D2E61E607EF0",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"C7FF4730-A049-410B-8FAC-AA5A2878AFE9",2,"nicht beurteilt (0 Punkte)","mittel (2 Punkte)",0,0,0,"true"
"C97A4F1C-E96B-478D-9718-83CEB1D09E22",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"CA5CD0CE-00A2-4671-9A5D-5BCBAF773934",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"CC409B48-CED7-4B4C-B4B8-E2EDC93047D7",3,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"CC647EF7-9EE7-431B-9D8F-414C03CD72F7",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"CCB35FCD-C455-40C3-813A-94313F4DD0CB",3,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"D397E3CD-8A84-4B77-A240-30F4EC7467FF",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"D492B2CD-6E4F-40F6-A29D-E6951CFF4D7B",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"D5AEE756-FD0B-4935-AD68-5876614073B3",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"D68D8929-AEDC-4D95-A2DA-A36B664FBA41",0,"nicht beurteilt (0 Punkte)","nicht beurteilt (0 Punkte)",0,0,0,"true"
"D7922C05-15D9-481C-8422-0DB955D16F66",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"D85740AA-E890-453D-BF64-710909AE7416",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"DA632CAE-F706-462F-BF54-AE0192BB0547",3,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"DB80EFDC-5A7A-47EB-9FFB-A10A60EB6ABB",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"DB819970-0CBF-451E-9D09-AC8AC91608B8",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"DC4BF46F-D36B-4118-A35D-4C4DF1043F8B",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"DCFDD2AC-3128-40E0-AF25-2A3E1950D217",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"E0427181-D97E-46E6-BCDB-2FC5C409F49C",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"E0D7836A-0729-4069-893B-52D31022CC0F",1,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"E558969E-27CF-4CE0-8426-9F8945B44D05",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"E69F6719-C60E-4979-971D-5D28209A5FB1",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"E730741D-D2A6-4695-BF2F-EB52B3397A70",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"E75F6244-12D6-4F18-B184-0E0B8ED08281",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
